科目代碼,會計科目,日期,傳票號碼,種類,摘要,本幣借方金額,本幣貸方金額,借貸,餘額,幣別,匯率,原幣借方金額,原幣貸方金額
1105,現金 ,2024/01/02,11201010001,3,,16000000.0,0,借,160000.0,USD,30.915,517548.12,0.0
1110,銀行存款 ,2024/01/02,11201010001,3,,978922000.0,0,借,9789220.0,USD,30.915,31664952.29,0.0
1135,其他應收帳款 ,2024/01/02,11201010001,3,,4420000.0,0,借,44200.0,USD,30.915,142972.67,0.0
113600,應收退稅款 ,2024/01/02,11201010001,3,,7541000.0,0,借,75410.0,USD,30.915,243926.9,0.0
1210,預付費用 ,2024/01/02,11201010001,3,,454597100.0,0,借,4545971.0,USD,30.915,14704742.03,0.0
121900,其他預付費用 ,2024/01/02,11201010001,3,工銀利息 ,54146700.0,0,借,541467.0,USD,30.915,1751470.16,0.0
1230,預付貨款 ,2024/01/02,11201010001,3,,10098000.0,0,借,100980.0,USD,30.915,326637.55,0.0
1295,留抵稅額 ,2024/01/02,11201010001,3,,889828900.0,0,借,8898289.0,USD,30.915,28783079.41,0.0
1410,土地 ,2024/01/02,11201010001,3,,10000000000.0,0,借,100000000.0,USD,30.915,323467572.38,0.0
1440,機器設備 ,2024/01/02,11201010001,3,,3580952500.0,0,借,35809525.0,USD,30.915,115832201.2,0.0
1445,累計折舊-機器設備 ,2024/01/02,11201010001,3,,0.0,"1,624,691,400",貸,16246914.0,USD,30.915,0.0,52553498.3
1460,辦公設備 ,2024/01/02,11201010001,3,,19628600.0,0,借,196286.0,USD,30.915,634921.56,0.0
1465,累計折舊-辦公設備 ,2024/01/02,11201010001,3,,0.0,"5,110,700",貸,51107.0,USD,30.915,0.0,165314.57
1470,未完工程及待驗設備 ,2024/01/02,11201010001,3,,14109611600.0,0,借,141096116.0,USD,30.915,456400181.14,0.0
1490,其他固定資產 ,2024/01/02,11201010001,3,,12490000.0,0,借,124900.0,USD,30.915,404011.0,0.0
1495,累計折舊-其他固定資產 ,2024/01/02,11201010001,3,,0.0,"1,763,400",貸,17634.0,USD,30.915,0.0,57040.27
1910,存出保證金 ,2024/01/02,11201010001,3,,504615000.0,0,借,5046150.0,USD,30.915,16322658.9,0.0
1940,未攤銷費用 ,2024/01/02,11201010001,3,,6084600.0,0,借,60846.0,USD,30.915,196817.08,0.0
2115,銀行借款 ,2024/01/02,11201010001,3,,0.0,"14,228,158,100",貸,142281581.0,USD,30.915,0.0,460234776.0
211970,一年或一營業週期內到期長期借款 ,2024/01/02,11201010001,3,,0.0,"962,975,200",貸,9629752.0,USD,30.915,0.0,31149125.02
2120-001,其他應付票據 ,2024/01/02,11201010001,3,,0.0,"54,146,700",貸,541467.0,USD,30.915,0.0,1751470.16
2145,應付費用 ,2024/01/02,11201010001,3,,0.0,"79,056,700",貸,790567.0,USD,30.915,0.0,2557227.88
214670,應付利息 ,2024/01/02,11201010001,3,,0.0,"16,706,600",貸,167066.0,USD,30.915,0.0,540404.33
2160,其他應付款 ,2024/01/02,11201010001,3,,0.0,"464,028,900",貸,4640289.0,USD,30.915,0.0,15009830.18
2990,代收款項 ,2024/01/02,11201010001,3,,0.0,"2,064,600",貸,20646.0,USD,30.915,0.0,66783.11
3110,資本 ,2024/01/02,11201010001,3,,0.0,"18,000,000,000",貸,180000000.0,USD,30.915,0.0,582241630.28
3500,累積盈虧 ,2024/01/02,11201010001,3,,4789766300.0,0,借,47897663.0,USD,30.915,154933407.73,0.0
